,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,total hour,validation,luby_cst,seed
0,afiro,33,34,1122,11,5,0,0,0,luby_test_small_restart,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:0:1,0.0,valid-solution,20,315271
1,kb2,42,60,2520,17,12,0,0,0,luby_test_small_restart,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,26:42:36,26.0,valid-solution,20,315271
2,sc50b,49,71,3479,21,14,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
3,sc50a,49,71,3479,19,13,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
4,adlittle,98,68,6664,17,22,0,0,0,luby_test_small_restart,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,9:18:11,9.0,approximate-solution,20,315271
5,share2b,80,107,8560,24,8,0,0,0,luby_test_small_restart,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,10:12:53,10.0,valid-solution,20,315271
6,blend,84,116,9744,32,26,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
7,sc105,104,151,15704,48,19,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
8,stocfor1,112,165,18480,38,5,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
9,israel,143,164,23452,36,30,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
10,scagr7,141,180,25380,29,19,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
11,fit1d,1027,26,26702,5,119,0,0,0,luby_test_small_restart,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:3:33,0.0,valid-solution,20,315271
12,recipe,181,159,28779,52,52,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
13,boeing2,163,185,30155,2,13,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
14,share1b,226,197,44522,3,43,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
15,vtp.base,204,250,51000,76,69,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
16,e226,283,206,58298,54,19,0,0,0,luby_test_small_restart,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:1:28,0.0,valid-solution,20,315271
17,sc205,204,295,60180,90,20,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
18,beaconfd,263,264,69432,82,67,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
19,lotfi,309,242,74778,69,42,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
20,brandy,250,305,76250,98,73,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
21,agg,164,495,81180,60,32,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
22,grow7,302,281,84862,50,55,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
23,forplan,423,246,104058,72,95,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
24,scsd1,761,155,117955,21,224,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
25,bore3d,316,381,120396,133,100,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
26,capri,354,404,143016,113,1,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
27,agg3,303,545,165135,171,102,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
28,agg2,303,545,165135,180,97,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
29,sctap1,481,421,202501,137,89,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
30,scorpion,359,565,202835,127,116,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
31,boeing1,474,446,211404,107,136,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
32,scfxm1,458,469,214802,94,16,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
33,bandm,473,539,254947,168,99,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
34,stair,468,566,264888,150,26,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
35,fit2d,10501,27,283527,7,2063,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
36,finnis,615,522,321030,167,147,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
37,scagr25,501,648,324648,154,145,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
38,degen2,535,666,356310,118,27,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
39,tuff,588,622,365736,183,155,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
40,grow15,646,601,388246,168,121,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
41,scsd6,1351,295,398545,16,420,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
42,etamacro,689,673,463697,191,182,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
43,standata,1076,516,555216,63,283,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
44,standgub,1185,520,616200,120,250,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
45,pilot4,1001,682,682682,208,182,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
46,fffff800,855,829,708795,192,224,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
47,standmps,1076,732,787632,34,296,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
48,grow22,947,881,834307,265,251,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
49,ship04s,1459,573,836007,188,318,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
50,scfxm2,915,937,857355,282,165,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
51,bnl1,1176,821,965496,261,325,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
52,scrs8,1170,863,1009710,169,154,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
53,seba,1036,1030,1067080,227,82,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
54,gfrd-pnc,1093,1133,1238369,224,77,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
55,wood1p,2595,487,1263765,107,555,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
56,perold,1377,1117,1538109,20,419,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
57,ship04l,2119,749,1587131,115,641,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
58,maros,1444,1147,1656268,132,180,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
59,shell,1776,1071,1902096,342,485,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
60,scfxm3,1372,1405,1927660,308,248,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
61,25fv47,1572,1276,2005872,328,502,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
62,fit1p,1678,1255,2105890,357,369,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
63,ship08s,2388,885,2113380,266,489,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
64,scsd8,2751,795,2187045,267,832,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
65,modszk1,1621,1373,2225633,335,223,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
66,ship12s,2764,1045,2888380,175,902,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
67,sctap2,1881,1561,2936241,361,269,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
68,pilot.ja,1989,1598,3178422,436,562,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
69,sierra,2037,1756,3576972,273,484,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
70,pilotnov,2173,1673,3635429,259,720,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
71,pilot.we,2790,1306,3643740,208,294,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
72,nesm,3012,1231,3707772,246,91,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
73,ganges,1682,2250,3784500,482,383,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
74,degen3,1819,2221,4039999,639,407,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
75,czprob,3524,1439,5071036,241,1013,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
76,d6cube,6185,829,5127365,86,1675,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
77,sctap3,2481,2101,5212581,610,620,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
78,pilot,3653,1671,6104163,229,1208,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
79,ship08l,4284,1429,6121836,469,929,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
80,stocfor2,2032,3285,6675120,1063,624,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
81,cycle,2858,3119,8914102,1034,606,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
82,ship12l,5428,1789,9710692,510,1451,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
83,pilot87,4884,2256,11018304,175,1594,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
84,bnl2,3490,3512,12256880,749,1082,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
85,woodw,8406,2183,18350298,474,2342,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
86,d2q06c,5168,3596,18584128,619,563,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
87,80bau3b,9800,2103,20609400,194,2127,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
88,greenbea,5406,4450,24056700,1124,64,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
89,greenbeb,5406,4450,24056700,1318,1168,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
90,maros-r7,9409,6273,59022657,1415,1797,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
91,fit2p,13526,6001,81169526,1037,1915,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
92,dfl001,12231,12143,148521033,2542,1100,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
93,afiro,33,34,1122,8,6,86,5,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,0.0,no-solution-to-validate,20,315271
94,kb2,42,60,2520,12,5,109,14,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,0.0,no-solution-to-validate,20,315271
95,sc50b,49,71,3479,18,4,126,12,0,luby_test_small_restart,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
96,sc50a,49,71,3479,12,9,267,4,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,0.0,no-solution-to-validate,20,315271
97,adlittle,98,68,6664,20,27,27,6,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,0.0,no-solution-to-validate,20,315271
98,share2b,80,107,8560,31,17,261,0,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,0.0,no-solution-to-validate,20,315271
99,blend,84,116,9744,36,23,456,17,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,0.0,no-solution-to-validate,20,315271
100,sc105,104,151,15704,4,19,794,19,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,0.0,no-solution-to-validate,20,315271
101,stocfor1,112,165,18480,56,13,232,23,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,0.0,no-solution-to-validate,20,315271
102,israel,143,164,23452,48,43,1338,3,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:2,0.0,no-solution-to-validate,20,315271
103,scagr7,141,180,25380,45,26,1024,25,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:1,0.0,no-solution-to-validate,20,315271
104,fit1d,1027,26,26702,6,111,803,1,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:3:27,0.0,no-solution-to-validate,20,315271
105,recipe,181,159,28779,21,52,1329,36,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:1,0.0,no-solution-to-validate,20,315271
106,boeing2,163,185,30155,9,25,1914,33,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:2,0.0,no-solution-to-validate,20,315271
107,share1b,226,197,44522,52,1,3464,36,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:4,0.0,no-solution-to-validate,20,315271
108,vtp.base,204,250,51000,54,59,496,3,0,luby_test_small_restart,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
109,e226,283,206,58298,61,63,1590,24,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:8,0.0,no-solution-to-validate,20,315271
110,sc205,204,295,60180,91,47,3705,9,0,luby_test_small_restart,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
111,beaconfd,263,264,69432,89,86,1448,11,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:15,0.0,no-solution-to-validate,20,315271
112,lotfi,309,242,74778,59,73,2923,8,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:8,0.0,no-solution-to-validate,20,315271
113,brandy,250,305,76250,89,54,4360,19,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:11,0.0,no-solution-to-validate,20,315271
114,agg,164,495,81180,27,32,7483,56,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:13,0.0,no-solution-to-validate,20,315271
115,grow7,302,281,84862,20,84,1553,37,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:13,0.0,no-solution-to-validate,20,315271
116,forplan,423,246,104058,60,135,115,23,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:34,0.0,no-solution-to-validate,20,315271
117,scsd1,761,155,117955,13,155,5955,27,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:56,0.0,no-solution-to-validate,20,315271
118,bore3d,316,381,120396,117,63,332,2,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:15,0.0,no-solution-to-validate,20,315271
119,capri,354,404,143016,109,101,3572,95,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:20,0.0,no-solution-to-validate,20,315271
120,agg3,303,545,165135,122,58,3574,17,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:33,0.0,no-solution-to-validate,20,315271
121,agg2,303,545,165135,86,28,496,10,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:32,0.0,no-solution-to-validate,20,315271
122,sctap1,481,421,202501,108,137,10661,65,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:30,0.0,no-solution-to-validate,20,315271
123,scorpion,359,565,202835,172,104,1936,86,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:27,0.0,no-solution-to-validate,20,315271
124,boeing1,474,446,211404,127,101,4905,111,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:43,0.0,no-solution-to-validate,20,315271
125,scfxm1,458,469,214802,106,61,4866,24,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:39,0.0,no-solution-to-validate,20,315271
126,bandm,473,539,254947,53,147,8231,32,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:56,0.0,no-solution-to-validate,20,315271
127,stair,468,566,264888,38,48,7586,119,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:52,0.0,no-solution-to-validate,20,315271
128,fit2d,10501,27,283527,6,542,270746,0,0,luby_test_small_restart,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
129,finnis,615,522,321030,172,63,2473,85,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:55,0.0,no-solution-to-validate,20,315271
130,scagr25,501,648,324648,151,157,19995,5,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:56,0.0,no-solution-to-validate,20,315271
131,degen2,535,666,356310,26,131,4207,162,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:1:26,0.0,no-solution-to-validate,20,315271
132,tuff,588,622,365736,24,190,13368,77,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:1:56,0.0,no-solution-to-validate,20,315271
133,grow15,646,601,388246,155,77,6346,113,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:2:17,0.0,no-solution-to-validate,20,315271
134,scsd6,1351,295,398545,97,429,29373,38,0,luby_test_small_restart,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
135,etamacro,689,673,463697,210,138,31253,124,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:1:36,0.0,no-solution-to-validate,20,315271
136,standata,1076,516,555216,173,283,33442,93,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:3:9,0.0,no-solution-to-validate,20,315271
137,standgub,1185,520,616200,162,301,13396,59,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:3:47,0.0,no-solution-to-validate,20,315271
138,pilot4,1001,682,682682,102,316,46311,80,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:4:17,0.0,no-solution-to-validate,20,315271
139,fffff800,855,829,708795,234,229,16055,29,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:5:4,0.0,no-solution-to-validate,20,315271
140,standmps,1076,732,787632,97,260,3607,16,0,luby_test_small_restart,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
141,grow22,947,881,834307,233,307,371,91,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:6:44,0.0,no-solution-to-validate,20,315271
142,ship04s,1459,573,836007,179,66,17763,132,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:8:12,0.0,no-solution-to-validate,20,315271
143,scfxm2,915,937,857355,291,291,12396,7,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:5:49,0.0,no-solution-to-validate,20,315271
144,bnl1,1176,821,965496,284,197,10694,82,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:7:2,0.0,no-solution-to-validate,20,315271
145,scrs8,1170,863,1009710,267,400,70304,41,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:5:53,0.0,no-solution-to-validate,20,315271
146,seba,1036,1030,1067080,39,273,43856,30,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:6:53,0.0,no-solution-to-validate,20,315271
147,gfrd-pnc,1093,1133,1238369,302,333,5736,101,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:6:10,0.0,no-solution-to-validate,20,315271
148,wood1p,2595,487,1263765,154,667,307178,116,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,7:47:58,7.0,no-solution-to-validate,20,315271
149,perold,1377,1117,1538109,222,438,73950,11,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:13:1,0.0,no-solution-to-validate,20,315271
150,ship04l,2119,749,1587131,179,539,43428,165,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:21:17,0.0,no-solution-to-validate,20,315271
151,maros,1444,1147,1656268,220,174,9205,29,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:18:12,0.0,no-solution-to-validate,20,315271
152,shell,1776,1071,1902096,179,413,164705,170,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:16:59,0.0,no-solution-to-validate,20,315271
153,scfxm3,1372,1405,1927660,206,439,146405,86,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:18:1,0.0,no-solution-to-validate,20,315271
154,25fv47,1572,1276,2005872,429,494,28102,275,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:24:22,0.0,no-solution-to-validate,20,315271
155,fit1p,1678,1255,2105890,179,470,216222,132,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:32:21,0.0,no-solution-to-validate,20,315271
156,ship08s,2388,885,2113380,247,625,16643,163,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:31:22,0.0,no-solution-to-validate,20,315271
157,scsd8,2751,795,2187045,188,749,191469,66,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:52:21,0.0,no-solution-to-validate,20,315271
158,modszk1,1621,1373,2225633,453,123,80952,39,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:15:14,0.0,no-solution-to-validate,20,315271
159,ship12s,2764,1045,2888380,36,690,58050,235,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:49:39,0.0,no-solution-to-validate,20,315271
160,sctap2,1881,1561,2936241,408,169,121526,106,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:26:44,0.0,no-solution-to-validate,20,315271
161,pilot.ja,1989,1598,3178422,64,191,90518,354,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,1:1:24,1.0,no-solution-to-validate,20,315271
162,sierra,2037,1756,3576972,358,158,280128,202,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:44:8,0.0,no-solution-to-validate,20,315271
163,pilotnov,2173,1673,3635429,312,683,12815,200,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,1:6:31,1.0,no-solution-to-validate,20,315271
164,pilot.we,2790,1306,3643740,399,556,108522,109,0,luby_test_small_restart,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,1:17:51,1.0,no-solution-to-validate,20,315271
